objectid,title,format,filename,creator,date,subject,location,latitude,longitude,description,parentid,image_small
item1,"Fire Insurance Plans - St. Catharines, 1913",compound_object,Map1-legend-STC FIP-1913.jpg,"Goad, Charles E.",1913,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",43.1594,-79.2469,"The fire insurance plan for St. Catharines, Ontario, surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",,FireInsuranceStCatharinesKeyPlan1913.jpg
item2,"Legend - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map1-legend-STC FIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines (Legend- Map 1), Ontario, surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item3,"Map 2 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map2-STC FIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 2), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item4,"Map 3 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map3-STCFIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 3), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item5,"Map 4 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map4-STCFIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 4), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item6,"Map 5 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map5-STCFIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 5), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item7,"Map 6 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map6-STCFIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 6), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item8,"Map 7 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map7-STCFIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 7), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item9,"Map 8 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map8-STCFIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 8), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
item10,"Map 9 - Fire Insurance Plans - St. Catharines, 1913",image/jpeg,Map9-STCFIP-1913.jpg,"Goad, Charles E.",,Fire insurance -- Ontario -- St. Catharines; Fire risk assessment -- Ontario -- St. Catharines; Real property -- Ontario -- St. Catharines; St. Catharines (Ont.),"St. Catharines, Ontario",,,"The fire insurance plan for St. Catharines, Ontario (Map 9), surveyed July 1901 and revised to January 1913. The revisions have been pasted on. The plan consists of: title sheet (includes index to streets, specials, blocks), sheet 1 (key plan, scale [1:6,000]), sheets 2-39. Call No. FC 3155.175 G62 1913. ",item1,
